X,Y,Z,area,volume,atomic_block,cellId,baseCellId,velocity_x,velocity_y,velocity_z
1.72394,95.4985,8.85035,154.459,141.259,9.0,-32.0,13.0,0.000456178,-0.000200471,2.5969e-06
3.73423,94.3872,8.86898,154.786,141.198,9.0,-32.0,13.0,0.000353058,-0.000234348,5.40158e-06
5.3309,93.2324,8.90301,155.837,141.167,9.0,-32.0,13.0,0.000294981,-0.000222639,7.39534e-06
6.76165,92.1733,8.93765,156.043,141.211,9.0,-32.0,13.0,0.000278663,-0.000199382,6.777e-06
8.15856,91.245,8.96763,155.776,141.26,9.0,-32.0,13.0,0.000280516,-0.000170544,5.85285e-06
9.57688,90.4564,8.99506,155.377,141.286,9.0,-32.0,13.0,0.0002878,-0.000145191,5.24757e-06
11.0395,89.8,9.01923,154.982,141.294,9.0,-32.0,13.0,0.000298619,-0.000118226,4.64042e-06
12.5707,89.2602,9.04205,154.511,141.302,9.0,-32.0,13.0,0.000314098,-9.78226e-05,4.0492e-06
14.1844,88.8245,9.06088,154.048,141.313,9.0,-32.0,13.0,0.00033187,-7.80545e-05,3.51388e-06
15.891,88.4714,9.07753,153.606,141.315,9.0,-32.0,13.0,0.00035093,-6.35432e-05,3.30508e-06
17.6983,88.1772,9.09198,153.2,141.339,9.0,-32.0,13.0,0.000371927,-5.4322e-05,2.40608e-06
19.6103,87.9202,9.10322,152.846,141.345,9.0,-32.0,13.0,0.000392638,-4.96363e-05,1.90666e-06
21.6268,87.6703,9.11239,152.64,141.345,9.0,-32.0,13.0,0.000413932,-5.16656e-05,1.49593e-06
23.7522,87.3918,9.11972,152.549,141.353,9.0,-32.0,13.0,0.000436114,-6.08784e-05,9.99989e-07
25.9886,87.0473,9.1236,152.488,141.347,9.0,-32.0,13.0,0.000458491,-7.86592e-05,5.10397e-07
28.3408,86.5876,9.1272,152.723,141.342,9.0,-32.0,13.0,0.000483723,-0.000105964,6.61628e-07
30.8202,85.961,9.12768,153.076,141.344,9.0,-32.0,13.0,0.000509189,-0.00014666,2.47709e-08
33.4493,85.1078,9.12965,153.507,141.329,9.0,-32.0,13.0,0.000542533,-0.000196907,1.46127e-07
36.261,83.9693,9.13072,154.132,141.309,9.0,-32.0,13.0,0.000582561,-0.000259403,1.54294e-07
39.2882,82.4921,9.13037,154.626,141.312,9.0,-32.0,13.0,0.00062764,-0.000331531,-9.65489e-08
42.5303,80.6623,9.12868,154.535,141.309,9.0,-32.0,13.0,0.000667717,-0.000398072,-7.04018e-07
45.9314,78.5631,9.12694,153.619,141.332,9.0,-32.0,13.0,0.000689272,-0.000434572,-3.5133e-07
49.3728,76.405,9.12791,152.058,141.356,5.0,-32.0,13.0,0.000682879,-0.000419533,1.9145e-07
52.7132,74.4579,9.1334,150.909,141.327,5.0,-32.0,13.0,0.000654306,-0.000351572,1.72458e-06
55.92,72.9445,9.14353,151.007,141.335,5.0,-32.0,13.0,0.000632188,-0.000249912,2.07478e-06
59.0727,71.9825,9.15506,151.558,141.332,5.0,-32.0,13.0,0.000631788,-0.000135728,2.65514e-06
62.2633,71.5856,9.16434,151.883,141.331,5.0,-32.0,13.0,0.000646076,-2.56847e-05,1.12238e-06
65.5408,71.6975,9.16864,151.843,141.354,5.0,-32.0,13.0,0.00066532,6.70129e-05,4.67072e-07
68.9113,72.2056,9.17152,151.457,141.359,5.0,-32.0,13.0,0.000681667,0.00013114,1.94543e-07
72.3558,72.9445,9.17093,151.021,141.368,5.0,-32.0,13.0,0.000694127,0.000157332,-2.85507e-07
75.8307,73.7039,9.16744,150.868,141.352,5.0,-32.0,13.0,0.000696008,0.000138336,-1.04775e-06
79.2998,74.2508,9.16366,151.566,141.372,5.0,-32.0,13.0,0.000692342,7.27222e-05,-7.02265e-07
82.7687,74.3555,9.16183,153.188,141.308,5.0,-32.0,13.0,0.000696365,-3.71755e-05,-2.66722e-07
86.2886,73.818,9.16218,155.402,141.264,5.0,-32.0,13.0,0.000716155,-0.000184622,1.76464e-07
89.9708,72.4716,9.15706,157.422,141.195,5.0,-32.0,13.0,0.000762921,-0.000358892,-1.31194e-06
94.0036,70.2413,9.14281,158.41,141.157,5.0,-32.0,13.0,0.000854878,-0.000529596,-3.05212e-06
98.5593,67.3076,9.12184,157.717,141.234,21.0,-32.0,13.0,0.000961389,-0.000622037,-3.70713e-06
103.467,64.3069,9.10498,154.104,141.306,21.0,-32.0,13.0,0.000976298,-0.000547661,-2.58507e-06
108.145,62.0303,9.10108,152.277,141.309,21.0,-32.0,13.0,0.000888206,-0.000353555,9.04973e-08
112.364,60.8038,9.11019,153.306,141.24,21.0,-32.0,13.0,0.000804588,-0.000134337,3.04091e-06
116.216,60.7154,9.1251,154.372,141.259,21.0,-32.0,13.0,0.000743068,0.000103074,3.653e-06
119.83,61.8688,9.14151,155.193,141.226,21.0,-32.0,13.0,0.000704522,0.000359251,2.71538e-06
123.363,64.32,9.15638,156.108,141.157,21.0,-32.0,13.0,0.000717372,0.000611255,3.6767e-06
