X,Y,Z,area,volume,atomic_block,cellId,baseCellId,velocity_x,velocity_y,velocity_z
1.33694,35.3722,8.66531,155.681,141.314,1.0,-27.0,3.0,0.000502515,-0.000196782,1.08579e-06
3.80387,34.2905,8.66952,155.848,141.305,1.0,-27.0,3.0,0.000484623,-0.000235474,5.63993e-07
6.17946,33.0251,8.67133,156.005,141.304,1.0,-27.0,3.0,0.000464902,-0.000268646,2.76053e-07
8.44846,31.6317,8.67203,156.025,141.306,1.0,-27.0,3.0,0.000443299,-0.000285798,9.2617e-08
10.6246,30.195,8.673,155.922,141.306,1.0,-27.0,3.0,0.000428075,-0.000285815,1.5198e-07
12.7409,28.8038,8.67537,155.829,141.306,1.0,-27.0,3.0,0.000419616,-0.000268254,8.14419e-07
14.8348,27.5331,8.67957,155.873,141.312,1.0,-27.0,3.0,0.000419109,-0.000238119,1.09426e-06
16.9429,26.4362,8.68546,156.045,141.311,1.0,-27.0,3.0,0.000425101,-0.000198959,1.32379e-06
19.0929,25.5501,8.69304,156.282,141.309,1.0,-27.0,3.0,0.000435335,-0.00015395,1.39658e-06
21.3071,24.9025,8.70121,156.521,141.306,1.0,-27.0,3.0,0.000449938,-0.000105069,2.12446e-06
23.5991,24.5144,8.71224,156.783,141.302,1.0,-27.0,3.0,0.000468001,-4.92366e-05,2.05101e-06
25.9949,24.4114,8.72016,157.011,141.298,1.0,-27.0,3.0,0.000490956,9.07706e-06,1.24811e-06
28.5142,24.6162,8.72886,157.221,141.279,1.0,-27.0,3.0,0.000517214,7.42466e-05,2.56494e-06
31.1869,25.1581,8.74213,157.536,141.279,1.0,-27.0,3.0,0.000553437,0.000142727,1.92517e-06
34.0592,26.0611,8.75454,157.739,141.268,1.0,-27.0,3.0,0.000597573,0.000217221,2.67117e-06
37.1765,27.3315,8.76774,157.795,141.26,1.0,-27.0,3.0,0.000650917,0.000288471,2.3127e-06
40.5636,28.929,8.78191,157.575,141.267,1.0,-27.0,3.0,0.000702719,0.000345661,2.94872e-06
44.1771,30.721,8.79501,157.059,141.29,1.0,-27.0,3.0,0.000737317,0.000363658,2.58666e-06
47.8737,32.4742,8.80545,156.579,141.302,1.0,-27.0,3.0,0.00073585,0.000328603,1.94994e-06
51.4791,33.9253,8.81113,156.924,141.302,1.0,-27.0,3.0,0.000703,0.000244893,6.63734e-07
54.8806,34.865,8.80982,158.371,141.26,1.0,-27.0,3.0,0.000657801,0.000126053,-5.44435e-07
58.0623,35.153,8.8027,160.025,141.213,1.0,-27.0,3.0,0.000615289,-1.3578e-05,-2.2495e-06
61.0367,34.7033,8.79768,161.424,141.168,1.0,-27.0,3.0,0.000576962,-0.000167674,6.71455e-07
63.8693,33.4705,8.79666,162.52,141.087,1.0,-27.0,3.0,0.000559245,-0.000328278,3.04107e-07
66.6893,31.4827,8.79584,163.217,141.032,1.0,-27.0,3.0,0.000571686,-0.000463705,1.5894e-06
69.6286,28.9623,8.79661,163.214,141.047,1.0,-27.0,3.0,0.000604113,-0.000533983,-2.22901e-06
72.7066,26.2452,8.79675,162.877,141.021,1.0,-27.0,3.0,0.000622038,-0.000541942,-4.5523e-06
75.8384,23.6512,8.80405,161.524,141.074,1.0,-27.0,3.0,0.000619508,-0.000482368,4.45911e-06
78.9077,21.5042,8.83039,160.719,141.182,1.0,-27.0,3.0,0.000589831,-0.000369726,7.27991e-06
81.7857,19.9066,8.85295,160.307,141.197,1.0,-27.0,3.0,0.000558982,-0.000265981,4.46195e-06
84.5263,18.8416,8.87131,159.825,141.244,1.0,-27.0,3.0,0.000537776,-0.000160055,3.35173e-06
87.1734,18.3038,8.88666,159.307,141.27,1.0,-27.0,3.0,0.000521545,-5.7068e-05,2.97077e-06
89.7438,18.2575,8.90014,158.817,141.289,1.0,-27.0,3.0,0.000506225,3.71099e-05,2.30792e-06
92.2397,18.6584,8.9108,158.509,141.279,1.0,-27.0,3.0,0.000493196,0.000122082,2.02633e-06
94.6762,19.4771,8.91866,158.362,141.273,1.0,-27.0,3.0,0.000481676,0.000204775,1.62298e-06
97.0617,20.7027,8.9252,158.27,141.281,1.0,-27.0,3.0,0.000472658,0.000285008,1.31597e-06
99.403,22.3087,8.92935,158.04,141.289,17.0,-27.0,3.0,0.00046383,0.00035484,6.74542e-07
101.699,24.219,8.93171,157.553,141.289,17.0,-27.0,3.0,0.000454605,0.000403702,3.08416e-07
103.957,26.2948,8.93347,156.877,141.292,17.0,-27.0,3.0,0.000449112,0.000421143,3.60709e-07
106.201,28.3827,8.93579,156.33,141.289,17.0,-27.0,3.0,0.000448798,0.00040814,9.01165e-07
108.451,30.3215,8.94074,156.411,141.291,17.0,-27.0,3.0,0.000452032,0.000361394,1.27531e-06
110.749,31.9505,8.9456,157.018,141.246,17.0,-27.0,3.0,0.000469879,0.00028565,1.49403e-06
113.197,33.1453,8.95137,157.898,141.221,17.0,-27.0,3.0,0.000513595,0.000189146,1.12038e-06
115.926,33.8271,8.95826,158.452,141.19,17.0,-27.0,3.0,0.000579342,7.95392e-05,5.1642e-07
119.023,33.9421,8.96204,158.766,141.156,17.0,-27.0,3.0,0.000668835,-3.30671e-05,-3.9759e-06
122.574,33.4556,8.96284,158.825,141.151,17.0,-27.0,3.0,0.000763527,-0.000158639,7.17673e-07
126.683,32.3552,8.96261,158.845,141.135,17.0,-27.0,3.0,0.000883269,-0.000276829,-2.69649e-08
131.364,30.7181,8.95855,158.413,141.166,17.0,-27.0,3.0,0.000976494,-0.000371433,-8.56826e-07
136.283,28.7622,8.95002,156.772,141.219,17.0,-27.0,3.0,0.000966739,-0.00039326,-2.05148e-06
140.883,27.0031,8.93487,156.598,141.185,17.0,-27.0,3.0,0.000869167,-0.000294454,-3.39568e-06
145.005,25.9481,8.9215,158.787,141.064,17.0,-27.0,3.0,0.000791651,-0.000117123,1.82567e-06
148.777,25.8644,8.9161,160.214,141.052,17.0,-27.0,3.0,0.000728719,9.28129e-05,-7.82219e-08
152.338,26.8795,8.91747,160.998,141.03,17.0,-27.0,3.0,0.000698685,0.000311629,1.07259e-06
155.801,28.9991,8.92202,161.125,141.045,17.0,-27.0,3.0,0.000693332,0.000529378,1.12804e-06
159.328,32.0788,8.92724,160.666,141.094,17.0,-27.0,3.0,0.000724819,0.00068911,1.46074e-06
163.051,35.6748,8.93324,158.975,141.188,17.0,-27.0,3.0,0.00075928,0.000721273,1.47457e-06
166.872,39.0097,8.9453,157.389,141.188,21.0,-27.0,3.0,0.000769294,0.00058807,3.44721e-06
170.823,41.3708,8.96386,158.07,141.151,21.0,-27.0,3.0,0.000823439,0.000344695,3.85701e-06
175.193,42.386,8.98161,159.399,141.061,21.0,-27.0,3.0,0.000937392,5.96881e-05,2.52177e-06
180.274,41.9665,8.98663,160.054,140.991,21.0,-27.0,3.0,0.00109334,-0.000218519,-1.88888e-06
