X,Y,Z,area,volume,atomic_block,cellId,baseCellId,velocity_x,velocity_y,velocity_z
3.65827,84.0,5.0,132.912,141.525,9.0,11.0,11.0,0.0,0.0,0.0
3.8355,83.9224,5.00315,133.197,141.518,9.0,11.0,11.0,2.93563e-05,-1.41748e-05,-3.21079e-07
3.95764,83.8617,5.00146,133.734,141.531,9.0,11.0,11.0,2.01079e-05,-9.55823e-06,-3.94153e-07
4.03914,83.8369,4.99785,134.263,141.522,9.0,11.0,11.0,1.29414e-05,5.85618e-08,-1.46214e-06
4.09544,83.8497,4.98921,134.771,141.511,9.0,11.0,11.0,1.0292e-05,5.04234e-06,-2.21038e-06
4.14818,83.8866,4.97578,135.258,141.514,9.0,11.0,11.0,1.16556e-05,1.03155e-05,-3.31855e-06
4.21761,83.9567,4.95911,135.632,141.533,9.0,11.0,11.0,1.6979e-05,1.67538e-05,-3.7486e-06
4.32191,84.057,4.93595,135.96,141.519,9.0,11.0,11.0,2.50626e-05,2.36404e-05,-5.03895e-06
4.47386,84.1753,4.91278,136.453,141.479,9.0,11.0,11.0,3.65628e-05,2.47165e-05,-4.27027e-06
4.69028,84.2967,4.89501,137.643,141.48,9.0,11.0,11.0,5.07156e-05,2.31024e-05,-2.2285e-06
4.97845,84.3993,4.88892,139.708,141.456,9.0,11.0,11.0,6.38143e-05,1.76799e-05,-6.56382e-07
5.32797,84.4807,4.89184,142.32,141.408,9.0,11.0,11.0,7.45172e-05,1.33994e-05,1.13051e-06
5.72143,84.5447,4.89839,145.037,141.406,9.0,11.0,11.0,8.38349e-05,1.14382e-05,1.46471e-06
6.16638,84.5921,4.89798,146.939,141.378,9.0,11.0,11.0,9.57419e-05,8.13988e-06,3.51347e-06
6.69032,84.6326,4.91718,148.172,141.322,9.0,11.0,11.0,0.000114854,5.94192e-06,2.66333e-06
7.30436,84.6395,4.93443,149.149,141.279,9.0,11.0,11.0,0.000131344,-3.57339e-07,4.12379e-06
7.97398,84.658,4.93685,149.451,141.324,9.0,11.0,11.0,0.000152438,4.70856e-06,-4.85183e-07
8.79499,84.6894,4.96531,149.67,141.36,9.0,11.0,11.0,0.000171053,1.37182e-06,6.95995e-06
9.76264,84.6779,5.00617,149.522,141.357,9.0,11.0,11.0,0.000192724,-1.01277e-05,8.81114e-06
10.7217,84.628,5.03025,147.97,141.377,9.0,11.0,11.0,0.000214581,-1.43258e-05,6.41293e-06
11.8141,84.5354,5.06574,147.016,141.369,9.0,11.0,11.0,0.000218776,-1.74403e-05,7.58404e-06
12.8703,84.4339,5.09125,146.572,141.384,9.0,11.0,11.0,0.000200227,-2.17325e-05,1.22194e-06
13.8035,84.3438,5.08353,146.739,141.415,9.0,11.0,11.0,0.000183699,-1.16126e-05,-4.77469e-06
14.8671,84.2971,5.04296,148.404,141.411,9.0,11.0,11.0,0.000233491,-1.17171e-05,-7.26359e-06
16.1497,84.2162,5.02647,149.637,141.364,9.0,11.0,11.0,0.000258689,-1.56266e-05,-4.56576e-06
17.7047,84.1162,5.02648,151.218,141.284,9.0,11.0,11.0,0.000365985,-3.43485e-05,9.1769e-06
19.7691,83.9526,5.11117,151.657,141.254,9.0,11.0,11.0,0.000498262,-3.01156e-05,2.0383e-05
22.2623,83.758,5.18314,153.328,141.108,9.0,11.0,11.0,0.000489828,-5.00371e-05,3.15098e-06
25.184,83.3991,5.2727,155.048,141.026,9.0,11.0,11.0,0.000644646,-9.39065e-05,3.10868e-05
28.0755,82.8782,5.32136,155.316,141.013,9.0,11.0,11.0,0.000597601,-0.000114752,3.14547e-05
31.6384,82.0945,5.48869,154.95,140.998,9.0,11.0,11.0,0.000759886,-0.000190151,4.69616e-05
35.2135,80.9327,5.65004,156.147,140.985,9.0,11.0,11.0,0.000707454,-0.000271761,2.9962e-05
38.4233,79.5892,5.75923,157.655,141.026,9.0,11.0,11.0,0.000577553,-0.000286145,1.58763e-06
41.4096,78.0384,5.82165,159.002,141.008,9.0,11.0,11.0,0.00050619,-0.000294123,-9.13646e-07
43.9849,76.5114,5.81215,159.81,141.062,5.0,11.0,11.0,0.000499292,-0.000301188,-3.88086e-06
46.5139,74.9856,5.80521,159.568,141.161,5.0,11.0,11.0,0.000499701,-0.000302724,-1.42935e-06
49.178,73.4197,5.82942,158.462,141.202,5.0,11.0,11.0,0.000543593,-0.000312025,1.00577e-05
51.8748,71.9731,5.88338,157.334,141.237,5.0,11.0,11.0,0.000558399,-0.00026852,1.53213e-05
54.7213,70.8125,5.96671,156.756,141.222,5.0,11.0,11.0,0.000610971,-0.000199241,1.83259e-05
57.8776,70.1557,6.0742,156.262,141.214,5.0,11.0,11.0,0.000682512,-6.81514e-05,2.68072e-05
61.3956,70.1101,6.22839,155.823,141.127,5.0,11.0,11.0,0.000713815,5.34834e-05,2.30847e-05
65.1803,70.569,6.37373,155.438,141.212,5.0,11.0,11.0,0.000773623,0.000119671,2.85768e-05
68.9679,71.2459,6.51333,154.872,141.251,5.0,11.0,11.0,0.00076545,0.00015565,2.88048e-05
72.941,72.0819,6.67057,153.718,141.263,5.0,11.0,11.0,0.000798938,0.000161074,2.84394e-05
76.9743,72.768,6.82688,152.724,141.27,5.0,11.0,11.0,0.000809407,9.97994e-05,3.15634e-05
81.0002,73.0145,6.98445,152.02,141.28,5.0,11.0,11.0,0.000783795,-3.43137e-06,3.48375e-05
85.3432,72.4574,7.18795,153.263,141.074,5.0,11.0,11.0,0.000934452,-0.00027416,3.74942e-05
90.3012,70.5138,7.37046,154.509,140.896,5.0,11.0,11.0,0.00104093,-0.000512273,4.07939e-05
95.4238,67.7425,7.51468,156.743,141.047,5.0,11.0,11.0,0.000951429,-0.000561228,2.23903e-06
100.181,64.8503,7.49883,156.783,141.253,21.0,11.0,11.0,0.000963381,-0.000594903,-5.41454e-06
104.8,62.0577,7.46389,154.72,141.379,21.0,11.0,11.0,0.000894146,-0.000517202,-1.43422e-06
109.059,59.8101,7.46811,151.653,141.399,21.0,11.0,11.0,0.000805174,-0.000364001,1.45149e-06
112.891,58.5006,7.49349,149.361,141.396,21.0,11.0,11.0,0.000727051,-0.000153634,7.55146e-06
116.41,58.2984,7.59394,150.39,141.264,21.0,11.0,11.0,0.00070598,0.000108775,4.20841e-05
119.793,59.4324,7.65733,153.941,141.296,21.0,11.0,11.0,0.000679562,0.000407008,1.99934e-05
123.18,62.3128,7.80568,156.35,141.144,21.0,11.0,11.0,0.000713957,0.000739417,4.8178e-05
127.05,66.5357,8.04801,156.396,141.143,21.0,11.0,11.0,0.000795453,0.000866854,3.98773e-05
131.085,70.7718,8.20551,152.359,141.32,21.0,11.0,11.0,0.000799542,0.000795749,2.14359e-05
134.881,74.2275,8.25959,147.228,141.456,21.0,11.0,11.0,0.000725138,0.000576305,5.48279e-06
138.491,76.4832,8.28553,145.283,141.478,21.0,11.0,11.0,0.000728663,0.000326257,4.27609e-06
142.173,77.5641,8.29032,144.277,141.484,25.0,11.0,11.0,0.00074776,0.00012041,4.21905e-09
145.938,77.825,8.29688,143.328,141.517,25.0,11.0,11.0,0.000753963,-4.14893e-06,3.19196e-06
149.641,77.616,8.31838,142.115,141.507,25.0,11.0,11.0,0.000722235,-7.10782e-05,5.6767e-06
153.123,77.1895,8.35806,141.902,141.54,21.0,11.0,11.0,0.000667352,-9.16405e-05,1.19627e-05
156.325,76.7809,8.48816,142.213,141.497,21.0,11.0,11.0,0.000608865,-6.27733e-05,4.44798e-05
159.176,76.5216,8.62379,142.795,141.48,21.0,11.0,11.0,0.00053564,-3.77347e-05,1.31809e-05
161.721,76.4978,8.73713,143.117,141.455,21.0,11.0,11.0,0.000485339,3.12085e-05,2.73964e-05
164.041,76.7571,8.83395,142.995,141.511,21.0,11.0,11.0,0.000447245,7.3374e-05,2.13804e-06
166.22,77.2588,8.84141,143.563,141.474,21.0,11.0,11.0,0.000427149,0.000130227,-5.25677e-07
168.332,78.0586,8.82814,144.181,141.485,25.0,11.0,11.0,0.000423345,0.000178644,-3.08703e-06
170.45,79.118,8.80132,144.825,141.478,25.0,11.0,11.0,0.000423178,0.000250309,-5.83146e-06
172.612,80.4992,8.7655,145.181,141.49,25.0,11.0,11.0,0.000442873,0.000302347,-7.3676e-06
174.905,82.1054,8.72692,145.137,141.488,25.0,11.0,11.0,0.000476152,0.000336036,-8.13811e-06
177.394,83.8182,8.6912,144.708,141.49,25.0,11.0,11.0,0.000521772,0.000344707,-6.66264e-06
180.135,85.504,8.65898,144.005,141.476,25.0,11.0,11.0,0.000575205,0.000324632,-6.48804e-06
183.15,87.0158,8.63358,143.318,141.479,25.0,11.0,11.0,0.000628821,0.000275601,-3.82871e-06
186.433,88.233,8.61234,142.775,141.481,25.0,11.0,11.0,0.000679568,0.000208786,-2.88396e-06
189.939,89.0842,8.59564,142.578,141.472,25.0,11.0,11.0,0.000719273,0.000131182,-2.89765e-06
193.626,89.5283,8.57009,142.596,141.469,25.0,11.0,11.0,0.00075123,4.41002e-05,-6.40267e-06
197.433,89.5,8.54541,142.531,141.481,25.0,11.0,11.0,0.000768197,-5.81651e-05,-4.51293e-06
201.292,88.886,8.51375,142.165,141.47,41.0,11.0,11.0,0.000767597,-0.000189087,-3.69185e-06
205.049,87.5994,8.51049,142.041,141.461,41.0,11.0,11.0,0.000741873,-0.000334299,-4.14689e-06
208.678,85.6436,8.49931,142.23,141.475,41.0,11.0,11.0,0.000716023,-0.000443765,-1.03987e-06
212.225,83.2624,8.50293,142.956,141.476,41.0,11.0,11.0,0.000702879,-0.000495019,2.17972e-06
215.686,80.8498,8.53516,144.828,141.469,41.0,11.0,11.0,0.000678651,-0.000451546,1.23033e-05
219.019,78.8453,8.60884,148.468,141.437,41.0,11.0,11.0,0.000658728,-0.000343751,1.52772e-05
222.334,77.3871,8.68779,150.638,141.302,37.0,11.0,11.0,0.000672328,-0.00022205,2.22422e-05
225.758,76.6263,8.7614,151.031,141.27,37.0,11.0,11.0,0.00071137,-7.96809e-05,1.25089e-05
229.204,76.4615,8.8467,152.614,141.19,37.0,11.0,11.0,0.00067435,1.4284e-05,1.74073e-05
232.807,76.8701,8.93912,152.33,141.101,37.0,11.0,11.0,0.000701352,0.000108988,2.91782e-05
