X,Y,Z,area,volume,atomic_block,cellId,baseCellId,velocity_x,velocity_y,velocity_z
1.77064,94.9225,8.87652,149.086,141.456,9.0,-50.0,10.0,0.000432339,-0.000187227,-1.34118e-06
3.73231,93.8856,8.87147,146.539,141.428,9.0,-50.0,10.0,0.000353079,-0.000221322,-3.79656e-07
5.29917,92.7821,8.86499,148.537,141.409,9.0,-50.0,10.0,0.000281627,-0.000216745,-3.57672e-06
6.61872,91.7514,8.85913,151.616,141.41,9.0,-50.0,10.0,0.000254096,-0.000194486,7.237e-07
7.84427,90.8287,8.87591,153.245,141.402,9.0,-50.0,10.0,0.000245909,-0.000172186,5.66554e-06
9.07862,90.0281,8.90094,153.482,141.399,9.0,-50.0,10.0,0.000249648,-0.000148438,5.0221e-06
10.3637,89.3536,8.92334,153.254,141.396,9.0,-50.0,10.0,0.000264764,-0.000123594,3.19658e-06
11.7258,88.7892,8.93757,153.152,141.413,9.0,-50.0,10.0,0.000281813,-0.000101152,2.18989e-06
13.1834,88.3307,8.94756,152.901,141.426,9.0,-50.0,10.0,0.000301233,-8.28326e-05,1.73831e-06
14.7385,87.9566,8.95458,152.639,141.424,9.0,-50.0,10.0,0.000321837,-6.6895e-05,1.01011e-06
16.4045,87.6528,8.95864,152.354,141.441,9.0,-50.0,10.0,0.000344983,-5.47929e-05,4.31338e-07
18.1889,87.4022,8.96092,151.872,141.446,9.0,-50.0,10.0,0.000368553,-4.65257e-05,4.83765e-07
20.0902,87.1779,8.96337,151.38,141.443,9.0,-50.0,10.0,0.000391988,-4.43724e-05,3.67956e-07
22.1086,86.947,8.96478,150.958,141.452,9.0,-50.0,10.0,0.000415428,-4.88894e-05,1.00165e-07
24.2461,86.6772,8.96539,150.569,141.447,9.0,-50.0,10.0,0.000439806,-6.01943e-05,5.90137e-08
26.5095,86.326,8.96492,150.295,141.455,9.0,-50.0,10.0,0.000466,-8.18435e-05,-2.15842e-07
28.9049,85.8475,8.96354,150.094,141.446,9.0,-50.0,10.0,0.000493038,-0.000112015,-4.75122e-07
31.4487,85.1861,8.96117,150.087,141.427,9.0,-50.0,10.0,0.000524391,-0.000154862,-5.22023e-07
34.1638,84.2833,8.95773,150.296,141.42,9.0,-50.0,10.0,0.000561937,-0.000208903,-8.53741e-07
37.0842,83.0748,8.95336,150.615,141.404,9.0,-50.0,10.0,0.000606488,-0.000276007,-8.87364e-07
40.228,81.5097,8.94863,150.772,141.414,9.0,-50.0,10.0,0.000650174,-0.00034941,-9.09054e-07
43.5743,79.5941,8.94418,150.307,141.412,9.0,-50.0,10.0,0.000684881,-0.000412272,-6.88624e-07
47.0343,77.4521,8.94108,148.974,141.433,5.0,-50.0,10.0,0.000694384,-0.000436057,-3.58441e-07
50.4603,75.3282,8.94074,147.306,141.429,5.0,-50.0,10.0,0.000670454,-0.000404461,4.27298e-07
53.7216,73.4913,8.94079,147.258,141.394,5.0,-50.0,10.0,0.000634571,-0.000324106,-1.97476e-07
56.8277,72.1365,8.94006,149.453,141.348,5.0,-50.0,10.0,0.000612459,-0.000216362,-1.49407e-07
59.8971,71.3322,8.9398,151.412,141.34,5.0,-50.0,10.0,0.000618752,-0.000104851,1.5945e-06
63.0288,71.0746,8.94231,152.407,141.38,5.0,-50.0,10.0,0.000637875,-8.18428e-07,6.78066e-07
66.2756,71.2918,8.94414,152.353,141.399,5.0,-50.0,10.0,0.000661454,8.42065e-05,6.16333e-07
69.6326,71.8677,8.94706,151.364,141.413,5.0,-50.0,10.0,0.000681604,0.000140633,-5.30828e-07
73.0796,72.6367,8.94729,149.801,141.43,5.0,-50.0,10.0,0.000693532,0.00015923,3.11795e-07
76.568,73.3847,8.94512,148.314,141.453,5.0,-50.0,10.0,0.000698477,0.000131914,-2.71293e-07
80.0629,73.8751,8.9428,147.937,141.444,5.0,-50.0,10.0,0.000701062,5.72455e-05,-9.14577e-08
83.5675,73.8784,8.93946,149.397,141.416,5.0,-50.0,10.0,0.000702837,-6.24705e-05,-1.31571e-06
87.1403,73.1887,8.9341,151.453,141.34,5.0,-50.0,10.0,0.000730501,-0.000217169,3.20671e-07
90.9269,71.6471,8.93232,152.724,141.309,5.0,-50.0,10.0,0.000791375,-0.000399977,1.19373e-06
95.1476,69.2085,8.94121,152.936,141.307,5.0,-50.0,10.0,0.000899302,-0.000564844,1.29264e-06
99.9157,66.153,8.9458,151.574,141.411,21.0,-50.0,10.0,0.000992582,-0.000631223,1.17216e-06
104.864,63.2058,8.94773,147.985,141.447,21.0,-50.0,10.0,0.00096357,-0.000521789,1.85846e-07
109.418,61.1047,8.94534,147.749,141.385,21.0,-50.0,10.0,0.000857628,-0.000311919,-2.09038e-06
113.473,60.11,8.93924,150.362,141.286,21.0,-50.0,10.0,0.000768862,-8.51087e-05,-1.20643e-06
117.131,60.226,8.94136,154.163,141.251,21.0,-50.0,10.0,0.000680169,0.000115557,4.33249e-06
120.567,61.5497,8.94344,156.553,141.202,21.0,-50.0,10.0,0.000679167,0.000398501,1.9973e-06
123.987,64.1874,8.94943,157.396,141.217,21.0,-50.0,10.0,0.000703027,0.000648002,9.09095e-07
127.756,67.8949,8.95246,157.743,141.287,21.0,-50.0,10.0,0.000807543,0.000814008,-2.17598e-07
131.89,71.9356,8.95855,152.828,141.411,21.0,-50.0,10.0,0.000812476,0.000755202,3.25456e-06
135.758,75.1629,8.95847,148.997,141.376,21.0,-50.0,10.0,0.000746774,0.000522493,-3.00863e-06
139.471,77.1282,8.94315,149.385,141.315,21.0,-50.0,10.0,0.000753581,0.000267654,-3.77e-06
143.34,77.9531,8.93485,149.47,141.373,25.0,-50.0,10.0,0.000790253,7.66259e-05,-1.38079e-06
147.324,78.0327,8.93449,148.994,141.398,25.0,-50.0,10.0,0.000797515,-3.30422e-05,6.18341e-07
151.247,77.7365,8.94001,149.496,141.367,25.0,-50.0,10.0,0.000763549,-7.37209e-05,2.13523e-06
154.928,77.3152,8.93696,151.113,141.358,21.0,-50.0,10.0,0.000704272,-8.04888e-05,-1.7123e-06
158.28,76.9716,8.91938,151.919,141.377,21.0,-50.0,10.0,0.000640387,-5.20833e-05,-3.37128e-06
161.337,76.8357,8.91066,153.34,141.357,21.0,-50.0,10.0,0.000585197,1.7669e-06,-9.84836e-07
164.149,76.9993,8.91169,154.283,141.343,21.0,-50.0,10.0,0.000541533,6.62426e-05,4.1355e-07
166.776,77.4917,8.91476,154.865,141.359,21.0,-50.0,10.0,0.00051304,0.000131689,1.17258e-06
169.29,78.3194,8.9202,154.958,141.364,25.0,-50.0,10.0,0.000495857,0.000199846,8.18598e-07
171.765,79.474,8.92625,155.017,141.371,25.0,-50.0,10.0,0.000497535,0.000260496,1.49734e-06
174.286,80.9021,8.93162,154.81,141.384,25.0,-50.0,10.0,0.000514416,0.0003077,6.35614e-07
176.944,82.5059,8.93492,154.253,141.393,25.0,-50.0,10.0,0.000551183,0.000329868,4.43887e-07
179.823,84.1422,8.93787,153.436,141.411,25.0,-50.0,10.0,0.000602185,0.000318861,5.27983e-07
182.977,85.6381,8.94116,152.537,141.422,25.0,-50.0,10.0,0.000659881,0.000273548,9.68643e-07
186.419,86.828,8.94494,151.728,141.428,25.0,-50.0,10.0,0.000715546,0.000198562,7.76234e-07
190.106,87.5871,8.94937,150.927,141.435,25.0,-50.0,10.0,0.000756207,0.00010357,9.60853e-07
193.948,87.8503,8.95698,150.488,141.432,25.0,-50.0,10.0,0.000778339,7.40377e-07,4.57793e-06
197.849,87.5709,8.96537,150.346,141.452,41.0,-50.0,10.0,0.00078249,-0.00011632,8.52926e-07
201.745,86.6399,8.97166,150.464,141.44,41.0,-50.0,10.0,0.000772351,-0.00026038,9.35647e-07
205.541,84.9585,8.97535,150.396,141.437,41.0,-50.0,10.0,0.000742827,-0.000409592,3.22973e-07
209.152,82.6144,8.97744,150.18,141.43,41.0,-50.0,10.0,0.000700448,-0.000516524,4.65718e-07
212.534,79.9351,8.98092,150.07,141.442,41.0,-50.0,10.0,0.000652042,-0.000539985,9.13014e-07
215.67,77.3492,8.9856,150.709,141.411,37.0,-50.0,10.0,0.000602483,-0.000483281,3.51392e-07
218.567,75.2081,8.99094,152.353,141.334,37.0,-50.0,10.0,0.000560714,-0.000364498,1.70848e-06
221.336,73.7268,9.0006,154.387,141.285,37.0,-50.0,10.0,0.000551855,-0.000224529,1.99822e-06
224.112,72.9897,9.01123,157.152,141.272,37.0,-50.0,10.0,0.00056263,-7.04207e-05,2.5579e-06
226.992,73.0142,9.04455,159.308,141.225,37.0,-50.0,10.0,0.000599369,8.31725e-05,9.67767e-06
230.124,73.769,9.06876,159.647,141.137,37.0,-50.0,10.0,0.000644983,0.000198627,-2.58564e-06
233.686,75.0629,9.06573,159.223,141.17,37.0,-50.0,10.0,0.000782235,0.000299823,-1.83273e-06
237.923,76.5848,9.0667,158.495,141.258,37.0,-50.0,10.0,0.000900692,0.000285156,-1.81214e-06
242.53,77.7798,9.0698,156.908,141.279,41.0,-50.0,10.0,0.000919688,0.000180477,-4.75737e-07
246.896,78.3249,9.09273,154.674,141.353,41.0,-50.0,10.0,0.000814439,4.29021e-05,4.38605e-06
250.648,78.2928,9.09194,152.32,141.361,41.0,-50.0,10.0,0.000686331,-5.59249e-05,-1.0794e-05
253.782,77.794,9.05443,152.821,141.389,41.0,-50.0,10.0,0.000568647,-0.00013686,2.06317e-07
256.398,76.9634,9.04771,153.553,141.4,37.0,-50.0,10.0,0.000477758,-0.000200983,6.74691e-08
258.585,75.7894,9.05515,153.885,141.404,37.0,-50.0,10.0,0.000399947,-0.000269059,1.69654e-06
260.412,74.2662,9.06216,153.967,141.42,37.0,-50.0,10.0,0.000334161,-0.000338691,4.94392e-07
261.952,72.4056,9.06641,153.967,141.426,37.0,-50.0,10.0,0.000285526,-0.000402918,5.34135e-07
263.302,70.2704,9.06893,153.352,141.437,37.0,-50.0,10.0,0.000257932,-0.000447444,4.19475e-07
264.567,67.9611,9.06637,152.184,141.429,37.0,-50.0,10.0,0.000250558,-0.000470674,-9.97404e-07
265.831,65.6133,9.06069,151.198,141.432,37.0,-50.0,10.0,0.00025801,-0.000463173,-1.2658e-06
267.177,63.3846,9.05334,151.185,141.431,37.0,-50.0,10.0,0.00028443,-0.000424677,-1.71486e-06
268.721,61.4034,9.04405,152.557,141.405,37.0,-50.0,10.0,0.000338531,-0.000367598,-2.08129e-06
270.614,59.7277,9.03739,154.38,141.434,37.0,-50.0,10.0,0.000423273,-0.000304455,-1.17375e-06
