X,Y,Z,area,volume,atomic_block,cellId,baseCellId,velocity_x,velocity_y,velocity_z
-0.445764,36.0497,8.66658,146.066,141.479,1.0,-12.0,3.0,0.000518237,-0.000169197,9.6492e-07
2.1156,35.1053,8.6709,144.8,141.482,1.0,-12.0,3.0,0.000505294,-0.00020906,9.74475e-07
4.59745,33.962,8.67653,143.863,141.477,1.0,-12.0,3.0,0.00048658,-0.000247644,1.43464e-06
6.97619,32.6449,8.6842,143.364,141.478,1.0,-12.0,3.0,0.000464955,-0.000277153,1.86925e-06
9.24751,31.2198,8.69472,143.317,141.473,1.0,-12.0,3.0,0.000444217,-0.000289874,2.26116e-06
11.4294,29.7778,8.70536,143.657,141.463,1.0,-12.0,3.0,0.000429815,-0.000283926,2.04789e-06
13.5563,28.4102,8.71503,144.538,141.463,1.0,-12.0,3.0,0.00042263,-0.000261129,1.84117e-06
15.6663,27.1891,8.72396,145.905,141.457,1.0,-12.0,3.0,0.000422835,-0.000225976,1.88934e-06
17.7961,26.1633,8.73225,147.48,141.448,1.0,-12.0,3.0,0.000429681,-0.000183372,1.78689e-06
19.9752,25.3652,8.74055,148.927,141.44,1.0,-12.0,3.0,0.000441375,-0.000135402,1.69946e-06
22.22,24.8172,8.74859,149.99,141.417,1.0,-12.0,3.0,0.000458001,-8.28896e-05,1.33409e-06
24.5575,24.5432,8.7552,150.64,141.422,1.0,-12.0,3.0,0.000477823,-2.58694e-05,1.38873e-06
27.009,24.5642,8.76343,151.04,141.415,1.0,-12.0,3.0,0.000503022,3.49367e-05,2.03195e-06
29.5977,24.907,8.77264,151.663,141.428,1.0,-12.0,3.0,0.000533457,0.000103089,2.02457e-06
32.3612,25.5979,8.78176,152.319,141.421,1.0,-12.0,3.0,0.000572578,0.000174795,1.78702e-06
35.3445,26.6562,8.79094,152.739,141.422,1.0,-12.0,3.0,0.000620938,0.000248947,1.95654e-06
38.591,28.0739,8.80072,152.729,141.424,1.0,-12.0,3.0,0.000678208,0.00031608,1.5784e-06
42.1067,29.7787,8.80909,151.782,141.438,1.0,-12.0,3.0,0.000725634,0.000359972,2.00255e-06
45.8062,31.5982,8.81409,149.243,141.464,1.0,-12.0,3.0,0.000747232,0.000358779,1.14986e-06
49.5138,33.2694,8.81883,145.624,141.468,1.0,-12.0,3.0,0.000729354,0.000300735,1.53512e-06
53.0498,34.5317,8.82814,143.618,141.452,1.0,-12.0,3.0,0.000683307,0.000198224,2.30322e-06
56.3339,35.2095,8.84171,145.125,141.417,1.0,-12.0,3.0,0.000631777,7.04335e-05,3.7963e-06
59.3884,35.1978,8.85942,149.002,141.377,1.0,-12.0,3.0,0.000591732,-7.74389e-05,2.68243e-06
62.2777,34.4051,8.87124,152.352,141.334,1.0,-12.0,3.0,0.000567927,-0.000238606,2.11978e-06
65.1229,32.8019,8.8783,154.932,141.352,1.0,-12.0,3.0,0.000575987,-0.000399899,4.96108e-08
